"Ukazatel","IndicatorType","Takticko statistická klasifikace kriminality Police ČR","TSKKC","Území","Uz02","Roky","CasR","Hodnota"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2019","2019","8572"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2020","2020","7290"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2021","2021","6586"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2022","2022","8399"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2023","2023","7705"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2024","2024","7426"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2005","2005","11737"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2006","2006","11557"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2007","2007","13648"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2008","2008","12511"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2009","2009","11435"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2010","2010","11121"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2011","2011","11004"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2012","2012","10785"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2013","2013","10787"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2014","2014","10181"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2015","2015","8575"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2016","2016","7288"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Královéhradecký kraj","CZ052","2017","2017","7230"
